+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
| .o |    | .o |    |    | ed | mb | .o |    | .o |    |    | of | ca | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | ra | rg |    | rg |    |    | th | n  | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | nd | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | t  | ik |    | ik |    |    | Un |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | Pe | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | al | Fi |    | Th |    |    | ed |    | De |    |    |    |    | p |
| st |    | es |    |    | ip | e, | le |    | om |    |    | St |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed | 18 | :T |    | as |    |    | at |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia | 00 | ho |    | _J |    |    | es |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c | .j | ma |    | ef |    |    |    |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om | pg | s_ |    | fe |    |    |    |    | -R |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | Je |    | rs |    |    |    |    | ep |    |    |    |    | o |
| en |    | Th |    |    | ns |    | ff |    | on |    |    |    |    | ub |    |    |    |    | r |
| ts |    | om |    |    | /t |    | er |    |    |    |    |    |    | li |    |    |    |    | g |
| _o |    | as |    |    | hu |    | so |    |    |    |    |    |    | ca |    |    |    |    | / |
| f_ |    | _J |    |    | mb |    | n_ |    |    |    |    |    |    | n_ |    |    |    |    | w |
| th |    | ef |    |    | /1 |    | by |    |    |    |    |    |    | Pa |    |    |    |    | i |
| e_ |    | fe |    |    | /1 |    | _R |    |    |    |    |    |    | rt |    |    |    |    | k |
| Un |    | rs |    |    | e/ |    | em |    |    |    |    |    |    | y  |    |    |    |    | i |
| it |    | on |    |    | Th |    | br |    |    |    |    |    |    |    |    |    |    |    | / |
| ed |    |    |    |    | om |    | an |    |    |    |    |    |    |    |    |    |    |    | A |
| _S |    |    |    |    | as |    | dt |    |    |    |    |    |    |    |    |    |    |    | a |
| ta |    |    |    |    | _J |    | _P |    |    |    |    |    |    |    |    |    |    |    | r |
| te |    |    |    |    | ef |    | ea |    |    |    |    |    |    |    |    |    |    |    | o |
| s  |    |    |    |    | fe |    | le |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | rs |    | ,_ |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | on |    | 18 |    |    |    |    |    |    |    |    |    |    |    | B |
|    |    |    |    |    | _b |    | 00 |    |    |    |    |    |    |    |    |    |    |    | u |
|    |    |    |    |    | y_ |    | .j |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | Re |    | pg |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | mb |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nd |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | al |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 80 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Th |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | om |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | as |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _J |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ef |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | fe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rs |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _b |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Re |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | mb |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nd |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | al |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 80 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 3  | ht | Ma | Ma | ht | Th | ht | Th | ht | 17 | (L | 2n | De | ht | (1 | 5  | (1 | Ge | h |
| tp |    | tp | rc | rc | tp | om | tp | om | tp | 43 | iv | d  | mo | tp | 80 |    | 80 | or | t |
| s: |    | s: | h  | h  | s: | as | s: | as | s: | –1 | ed |  V | cr | s: | 4) |    | 5) | ge | t |
| // |    | // | 4, | 4, | // | Je | // | Je | // | 82 | :  | ic | at | // |    |    |    | Cl | p |
| en |    | en | 18 | 18 | up | ff | en | ff | en | 6  | 83 | e  | ic | en |    |    |    | in | s |
| .w |    | .w | 01 | 09 | lo | er | .w | er | .w |    | ye | Pr | -  | .w |    |    |    | to | : |
| ik |    | ik |    |    | ad | so | ik | so | ik |    | ar | es |  R | ik |    |    |    | n  | / |
| ip |    | ip |    |    | .w | n  | ip | n  | ip |    | s) | id | ep | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik | by | ed |    | ed |    |    | en | ub | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | Re | ia |    | ia |    |    | t  | li | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | mb | .o |    | .o |    |    | of | ca | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | ra | rg |    | rg |    |    | th | n  | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | nd | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | t  | ik |    | ik |    |    | Un |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | Pe | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | al | Fi |    | Th |    |    | ed |    | De |    |    |    |    | p |
| st |    | es |    |    | ip | e, | le |    | om |    |    | St |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed | 18 | :T |    | as |    |    | at |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia | 00 | ho |    | _J |    |    | es |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c | .j | ma |    | ef |    |    |    |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om | pg | s_ |    | fe |    |    |    |    | -R |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | Je |    | rs |    |    |    |    | ep |    |    |    |    | o |
| en |    | Th |    |    | ns |    | ff |    | on |    |    |    |    | ub |    |    |    |    | r |
| ts |    | om |    |    | /t |    | er |    |    |    |    |    |    | li |    |    |    |    | g |
| _o |    | as |    |    | hu |    | so |    |    |    |    |    |    | ca |    |    |    |    | / |
| f_ |    | _J |    |    | mb |    | n_ |    |    |    |    |    |    | n_ |    |    |    |    | w |
| th |    | ef |    |    | /1 |    | by |    |    |    |    |    |    | Pa |    |    |    |    | i |
| e_ |    | fe |    |    | /1 |    | _R |    |    |    |    |    |    | rt |    |    |    |    | k |
| Un |    | rs |    |    | e/ |    | em |    |    |    |    |    |    | y  |    |    |    |    | i |
| it |    | on |    |    | Th |    | br |    |    |    |    |    |    |    |    |    |    |    | / |
| ed |    |    |    |    | om |    | an |    |    |    |    |    |    |    |    |    |    |    | G |
| _S |    |    |    |    | as |    | dt |    |    |    |    |    |    |    |    |    |    |    | e |
| ta |    |    |    |    | _J |    | _P |    |    |    |    |    |    |    |    |    |    |    | o |
| te |    |    |    |    | ef |    | ea |    |    |    |    |    |    |    |    |    |    |    | r |
| s  |    |    |    |    | fe |    | le |    |    |    |    |    |    |    |    |    |    |    | g |
|    |    |    |    |    | rs |    | ,_ |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | on |    | 18 |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | _b |    | 00 |    |    |    |    |    |    |    |    |    |    |    | C |
|    |    |    |    |    | y_ |    | .j |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | Re |    | pg |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    | mb |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    | t |
|    |    |    |    |    | nd |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | Pe |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | al |    |    |    |    |    |    |    |    |    |    |    |    |    | ( |
|    |    |    |    |    | e% |    |    |    |    |    |    |    |    |    |    |    |    |    | v |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    | c |
|    |    |    |    |    | 80 |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | 0. |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    | p |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    | Th |    |    |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | om |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | as |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | _J |    |    |    |    |    |    |    |    |    |    |    |    |    | t |
|    |    |    |    |    | ef |    |    |    |    |    |    |    |    |    |    |    |    |    | ) |
|    |    |    |    |    | fe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rs |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _b |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Re |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | mb |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nd |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | al |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
