+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
| https: | 20   | Ngadi  | 7,871  | 25,823 | 1,011 | Manas | 28°30 | Manas | 1970  | 2 (6) | Nepal |
| //en.w |      | Chuli  |        |        |       | lu Hi | ′12″N | lu    |       |       |       |
| ikiped |      |        |        |        |       | malay | 84°34 |       |       |       |       |
| ia.org |      |        |        |        |       | a     | ′00″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 50333 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 84 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5666 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.50 |       |       |       |       |
| arth   |      |        |        |        |       |       | 333;  |       |       |       |       |
|        |      |        |        |        |       |       | 84.56 |       |       |       |       |
|        |      |        |        |        |       |       | 667   |       |       |       |       |
|        |      |        |        |        |       |       | (20.  |       |       |       |       |
|        |      |        |        |        |       |       | Ngadi |       |       |       |       |
|        |      |        |        |        |       |       | Chuli |       |       |       |       |
|        |      |        |        |        |       |       | (7871 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 111  | Nuptse | 7,864  | 25,801 | 305   | Mahal | 27°58 | Lhots | 1961  | 5     | Nepal |
| //en.w |      |        |        |        |       | angur | ′03″N | e     |       | (12)  |       |
| ikiped |      |        |        |        |       | Himal | 86°53 |       |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′13″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 27. |       |       |       |       |
| List_o |      |        |        |        |       |       | 96750 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8869 |       |       |       |       |
| untain |      |        |        |        |       |       | 4°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.96 |       |       |       |       |
| arth   |      |        |        |        |       |       | 750;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.88 |       |       |       |       |
|        |      |        |        |        |       |       | 694 ( |       |       |       |       |
